trunc_factor,coarsen_type,result
0.012100000000000001,1,0.112057
0.012100000000000001,6,0.10957599999999999
0.012100000000000001,8,0.054059
0.0122,0,0.088325
0.0122,1,0.116554
0.0122,6,0.112205
0.0122,8,0.047582
0.0123,0,0.09193399999999999
0.0123,1,0.116991
0.0123,6,0.10727600000000001
0.0123,8,0.050151
0.012400000000000001,0,0.090719
0.012400000000000001,1,0.111893
0.012400000000000001,6,0.120309
0.012400000000000001,8,0.056243
0.0125,0,0.089423
0.0125,1,0.114718
0.0125,6,0.122729
0.0125,8,0.054623000000000005
0.0126,0,0.088488
0.0126,1,0.11296099999999999
0.0126,6,0.107207
0.0126,8,0.052063
0.012700000000000001,0,0.083996
0.012700000000000001,1,0.10332
0.012700000000000001,6,0.106572
0.012700000000000001,8,0.055633999999999996
0.0128,0,0.078663
0.0128,1,0.10633400000000001
0.0128,6,0.10603499999999999
0.0128,8,0.049447000000000005
0.0129,0,0.08569
0.0129,1,0.105057
0.0129,6,0.111251
0.0129,8,0.052527000000000004
0.013000000000000001,0,0.07777200000000001
0.013000000000000001,1,0.105545
0.013000000000000001,6,0.108209
0.013000000000000001,8,0.047752
0.0131,0,0.08368300000000001
0.0131,1,0.105543
0.0131,6,0.107835
0.0131,8,0.049332
0.0132,0,0.07902300000000001
0.0132,1,0.10743599999999999
0.0132,6,0.107108
0.0132,8,0.052189
0.013300000000000001,0,0.07852300000000001
0.013300000000000001,1,0.100699
0.013300000000000001,6,0.109685
0.013300000000000001,8,0.049203000000000004
0.0134,0,0.08257500000000001
0.0134,1,0.098107
0.0134,6,0.101094
0.0134,8,0.047881999999999994
0.0135,0,0.079647
0.0135,1,0.104226
0.0135,6,0.10778499999999999
0.0135,8,0.049907
0.013600000000000001,0,0.081449
0.013600000000000001,1,0.11047499999999999
0.013600000000000001,6,0.111558
0.013600000000000001,8,0.052199
0.0137,0,0.07708999999999999
0.0137,1,0.10613
0.0137,6,0.107676
0.0137,8,0.048632
0.013800000000000002,0,0.08088200000000001
0.013800000000000002,1,0.10472200000000001
0.013800000000000002,6,0.104753
0.013800000000000002,8,0.050117
0.013900000000000001,0,0.079673
0.013900000000000001,1,0.107547
0.013900000000000001,6,0.105753
0.013900000000000001,8,0.049471
0.014,0,0.08135400000000001
0.014,1,0.10234299999999999
0.014,6,0.10834600000000001
0.014,8,0.052438
0.014100000000000001,0,0.080218
0.014100000000000001,1,0.106082
0.014100000000000001,6,0.108193
0.014100000000000001,8,0.051858999999999995
0.0142,0,0.08182400000000001
0.0142,1,0.107604
0.0142,6,0.104864
0.0142,8,0.047515
0.0143,0,0.080335
0.0143,1,0.105702
0.0143,6,0.106982
0.0143,8,0.053791
0.014400000000000001,0,0.079796
0.014400000000000001,1,0.097493
0.014400000000000001,6,0.104519
0.014400000000000001,8,0.050552
0.0145,0,0.079942
0.0145,1,0.097806
0.0145,6,0.112266
0.0145,8,0.051554
0.0146,0,0.07991899999999999
0.0146,1,0.103239
0.0146,6,0.106266
0.0146,8,0.050317
0.014700000000000001,0,0.083413
0.014700000000000001,1,0.107059
0.014700000000000001,6,0.111678
0.014700000000000001,8,0.050014
0.0148,0,0.083284
0.0148,1,0.102779
0.0148,6,0.10729
0.0148,8,0.048620000000000003
0.0149,0,0.081026
0.0149,1,0.108253
0.0149,6,0.10769999999999999
0.0149,8,0.04825
0.015000000000000001,0,0.082264
0.015000000000000001,1,0.107916
0.015000000000000001,6,0.111495
0.015000000000000001,8,0.049885
0.0151,0,0.081142
0.0151,1,0.10088899999999999
0.0151,6,0.10962300000000001
0.0151,8,0.053468
0.0152,0,0.08152599999999999
0.0152,1,0.10445199999999999
0.0152,6,0.111042
0.0152,8,0.052003
0.015300000000000001,0,0.08812400000000001
0.015300000000000001,1,0.101547
0.015300000000000001,6,0.104772
0.015300000000000001,8,0.052562
0.0154,0,0.07838999999999999
0.0154,1,0.100726
0.0154,6,0.116094
0.0154,8,0.052391999999999994
0.0155,0,0.082075
0.0155,1,0.10606
0.0155,6,0.107405
0.0155,8,0.050941
0.015600000000000001,0,0.078547
0.015600000000000001,1,0.10340200000000001
0.015600000000000001,6,0.109711
0.015600000000000001,8,0.050755
0.015700000000000002,0,0.08015
0.015700000000000002,1,0.10792099999999999
0.015700000000000002,6,0.110559
0.015700000000000002,8,0.047384
0.0158,0,0.078599
0.0158,1,0.10156
0.0158,6,0.10904799999999999
0.0158,8,0.048846
0.0159,0,0.08690300000000001
0.0159,1,0.10565200000000001
0.0159,6,0.104264
0.0159,8,0.048088
0.016,0,0.08046800000000001
0.016,1,0.104891
0.016,6,0.10553699999999999
0.016,8,0.049412
