x,y
0.293,0.086397
0.294,0.08502699999999999
0.295,0.082198
0.296,0.079404
0.297,0.081954
0.298,0.079501
0.299,0.085246
0.3,0.089017
0.301,0.090613
0.302,0.08666099999999999
0.303,0.082634
0.304,0.082124
0.305,0.085696
0.306,0.08837800000000001
0.307,0.08851500000000001
0.308,0.09529699999999999
0.309,0.089434
0.31,0.091932
0.311,0.08230499999999999
0.312,0.086706
0.313,0.086187
0.314,0.086271
0.315,0.083371
0.316,0.087882
0.317,0.09398000000000001
0.318,0.088731
0.319,0.093957
0.32,0.091849
0.321,0.091581
0.322,0.093654
0.323,0.091662
0.324,0.09565
0.325,0.09321199999999999
0.326,0.093302
0.327,0.09512100000000001
0.328,0.082716
0.329,0.084618
0.33,0.091296
0.331,0.09290999999999999
0.332,0.08520900000000001
0.333,0.08158
0.334,0.08426900000000001
0.335,0.08274799999999999
0.336,0.084416
0.337,0.07983000000000001
0.338,0.08328
0.339,0.079917
0.34,0.082761
0.341,0.08115800000000001
0.342,0.085483
0.343,0.078378
0.34400000000000003,0.07999999999999999
0.34500000000000003,0.08587700000000001
0.34600000000000003,0.081999
0.34700000000000003,0.082839
0.34800000000000003,0.084737
0.34900000000000003,0.083736
0.35000000000000003,0.08276700000000001
0.35100000000000003,0.082017
0.352,0.078821
0.353,0.086329
0.354,0.085754
0.355,0.079986
0.356,0.085858
0.357,0.089834
0.358,0.085429
0.359,0.08843300000000001
0.36,0.08917900000000001
0.361,0.087091
0.362,0.09092800000000001
0.363,0.087378
0.364,0.094072
0.365,0.089203
0.366,0.085108
0.367,0.087017
0.368,0.085269
0.369,0.08047
0.37,0.081386
0.371,0.08315900000000001
0.372,0.080121
0.373,0.080757
0.374,0.079766
0.375,0.08465
0.376,0.081534
0.377,0.07958499999999999
0.378,0.079594
0.379,0.08168500000000001
0.38,0.08393600000000001
0.381,0.07829900000000001
0.382,0.080987
0.383,0.080996
0.384,0.08302999999999999
0.385,0.082653
0.386,0.081904
0.387,0.083123
0.388,0.079822
0.389,0.079295
0.39,0.08041999999999999
0.391,0.081869
0.392,0.08519
0.393,0.085161
0.394,0.081073
0.395,0.081549
0.396,0.083896
0.397,0.083087
0.398,0.080241
0.399,0.08507899999999999
0.4,0.084368
0.401,0.078593
0.402,0.080135
0.403,0.081812
0.404,0.089833
0.405,0.082561
0.406,0.078768
0.40700000000000003,0.090586
0.40800000000000003,0.081715
0.40900000000000003,0.07849
0.41000000000000003,0.081505
0.41100000000000003,0.082762
0.41200000000000003,0.08058799999999999
0.41300000000000003,0.078981
0.41400000000000003,0.07922699999999999
0.41500000000000004,0.07937
0.41600000000000004,0.083298
0.417,0.080409
0.418,0.07841200000000001
0.419,0.088056
0.42,0.09023
0.421,0.081283
0.422,0.076613
0.423,0.079166
0.424,0.08008799999999999
0.425,0.08146400000000001
0.426,0.079756
0.427,0.082676
0.428,0.08362
0.429,0.082034
0.43,0.081089
0.431,0.085494
0.432,0.082804
0.433,0.08027000000000001
0.434,0.081236
0.435,0.081288
0.436,0.083329
0.437,0.082122
0.438,0.080387
0.439,0.081719
0.44,0.084743
0.441,0.084593
0.442,0.078702
0.443,0.083749
0.444,0.078514
0.445,0.076966
0.446,0.08459
0.447,0.09001100000000001
0.448,0.086897
0.449,0.083625
0.45,0.08427599999999999
0.451,0.085453
0.452,0.084276
0.453,0.085901
0.454,0.088687
0.455,0.092003
0.456,0.087575
0.457,0.082831
0.458,0.086457
0.459,0.08835000000000001
0.46,0.086381
0.461,0.08526500000000001
0.462,0.08214199999999999
0.463,0.092838
0.464,0.082167
0.465,0.08585799999999999
0.466,0.08041999999999999
0.467,0.079121
0.468,0.08180899999999999
0.46900000000000003,0.08183499999999999
0.47000000000000003,0.082349
0.47100000000000003,0.079522
0.47200000000000003,0.078097
0.47300000000000003,0.08152000000000001
0.47400000000000003,0.081469
0.47500000000000003,0.077038
0.47600000000000003,0.081279
0.47700000000000004,0.082846
0.47800000000000004,0.07806199999999999
0.47900000000000004,0.084122
0.48,0.079308
0.481,0.078818
0.482,0.08054
0.483,0.082876
0.484,0.080002
0.485,0.079858
0.486,0.082092
0.487,0.079189
0.488,0.080635
0.489,0.08238000000000001
0.49,0.084289
0.491,0.077914
0.492,0.08339099999999999
0.493,0.08152899999999999
0.494,0.075035
0.495,0.076877
0.496,0.077775
0.497,0.079889
0.498,0.091123
0.499,0.08326
0.5,0.084404
0.501,0.081248
0.502,0.080722
0.503,0.08196200000000001
0.504,0.081396
0.505,0.082736
0.506,0.079363
0.507,0.08202599999999999
0.508,0.082458
0.509,0.078445
0.51,0.07661899999999999
0.511,0.080977
0.512,0.084775
0.513,0.078586
0.514,0.083008
0.515,0.08426800000000001
0.516,0.075818
0.517,0.078812
0.518,0.079541
0.519,0.08039299999999999
0.52,0.082646
0.521,0.078017
0.522,0.076376
0.523,0.077704
0.524,0.083049
0.525,0.078498
0.526,0.080709
0.527,0.082705
0.528,0.07780300000000001
0.529,0.082338
0.53,0.082293
0.531,0.077378
0.532,0.082949
0.533,0.083284
0.534,0.085095
0.535,0.083633
0.536,0.083062
0.537,0.08067099999999999
0.538,0.081125
0.539,0.08432999999999999
0.54,0.090664
0.541,0.083249
0.542,0.084002
0.543,0.086097
0.544,0.08491599999999999
0.545,0.082701
0.546,0.077149
0.547,0.07701
0.548,0.084447
0.549,0.088249
0.55,0.08409900000000001
0.551,0.090234
0.552,0.08344
0.553,0.086567
0.554,0.086722
0.555,0.085355
0.556,0.084809
0.557,0.089713
0.558,0.086327
0.559,0.090185
0.56,0.089508
0.561,0.080223
0.562,0.082722
0.5630000000000001,0.081738
0.5640000000000001,0.085402
0.5650000000000001,0.088279
0.5660000000000001,0.078428
0.5670000000000001,0.081874
0.5680000000000001,0.076033
0.5690000000000001,0.07948
0.5700000000000001,0.07989099999999999
0.5710000000000001,0.077955
0.5720000000000001,0.074057
0.5730000000000001,0.078371
0.5740000000000001,0.08196500000000001
0.5750000000000001,0.083096
0.5760000000000001,0.079481
0.577,0.078349
0.578,0.08590900000000001
0.579,0.08574899999999999
0.58,0.081385
0.581,0.078347
0.582,0.08532899999999999
0.583,0.085533
0.584,0.08116
0.585,0.08107
0.586,0.08226800000000001
0.587,0.079585
0.588,0.08110700000000001
0.589,0.08637500000000001
0.59,0.076113
0.591,0.085533
0.592,0.087798
0.593,0.075716
0.594,0.076025
0.595,0.07707900000000001
0.596,0.09076300000000001
0.597,0.085202
0.598,0.088365
0.599,0.081434
0.6,0.087921
0.601,0.088648
0.602,0.083459
0.603,0.083084
0.604,0.078249
0.605,0.081734
0.606,0.07835400000000001
0.607,0.08068700000000001
0.608,0.075596
0.609,0.07278699999999999
0.61,0.075048
0.611,0.078861
0.612,0.078665
0.613,0.076461
0.614,0.072928
0.615,0.07909
0.616,0.07882800000000001
0.617,0.079808
0.618,0.074246
0.619,0.076121
0.62,0.078212
0.621,0.07813500000000001
0.622,0.077386
0.623,0.075593
0.624,0.07516999999999999
0.625,0.07428599999999999
0.626,0.075809
0.627,0.072159
0.628,0.076825
0.629,0.075575
0.63,0.07478299999999999
0.631,0.074462
0.632,0.075242
0.633,0.077878
0.634,0.074892
0.635,0.074999
0.636,0.07730200000000001
0.637,0.073714
0.638,0.07366700000000001
0.639,0.073151
0.64,0.081051
0.641,0.07733100000000001
0.642,0.075688
0.643,0.073727
0.644,0.075946
0.645,0.07592
0.646,0.07323299999999999
0.647,0.07402600000000001
0.648,0.072911
0.649,0.078174
0.65,0.074908
0.651,0.076205
0.652,0.07108400000000001
0.653,0.073571
0.654,0.077206
0.655,0.072212
0.656,0.07219300000000001
0.657,0.07508200000000001
0.658,0.07564699999999999
0.659,0.077216
0.66,0.078564
0.661,0.075139
0.662,0.07432
0.663,0.076172
0.664,0.078009
0.665,0.074322
0.666,0.076269
0.667,0.07689599999999999
0.668,0.07233200000000001
0.669,0.073644
0.67,0.07145499999999999
0.671,0.071219
0.672,0.07306
0.673,0.073562
0.674,0.069916
0.675,0.07811599999999999
0.676,0.079248
0.677,0.078313
0.678,0.076281
0.679,0.07339
0.68,0.0738
0.681,0.073462
0.682,0.071358
0.683,0.076792
0.684,0.08044399999999999
0.685,0.075853
0.686,0.075128
0.687,0.076486
0.6880000000000001,0.07251099999999999
0.6890000000000001,0.073986
0.6900000000000001,0.069934
0.6910000000000001,0.074706
0.6920000000000001,0.071973
0.6930000000000001,0.07549
0.6940000000000001,0.074937
0.6950000000000001,0.070682
0.6960000000000001,0.07208600000000001
0.6970000000000001,0.075214
0.6980000000000001,0.079204
0.6990000000000001,0.07714199999999999
0.7000000000000001,0.07410800000000001
0.7010000000000001,0.074813
0.7020000000000001,0.074728
0.7030000000000001,0.07256299999999999
0.704,0.073703
0.705,0.071278
0.706,0.072578
0.707,0.074301
0.708,0.075054
0.709,0.07292
0.71,0.073824
0.711,0.074848
0.712,0.073395
0.713,0.070144
0.714,0.073118
0.715,0.074104
0.716,0.06983800000000001
0.717,0.071939
0.718,0.074627
0.719,0.072217
0.72,0.072538
0.721,0.070031
0.722,0.07525599999999999
0.723,0.072747
0.724,0.070776
0.725,0.073534
0.726,0.07341600000000001
0.727,0.07264799999999999
0.728,0.07253
0.729,0.074115
0.73,0.079128
0.731,0.07711499999999999
0.732,0.073865
0.733,0.072247
0.734,0.07352
0.735,0.077453
0.736,0.07333
0.737,0.07050899999999999
0.738,0.070891
0.739,0.077349
0.74,0.077406
0.741,0.074241
0.742,0.074011
0.743,0.073893
0.744,0.072903
0.745,0.073317
0.746,0.074316
0.747,0.08113200000000001
0.748,0.082419
0.749,0.073984
0.75,0.071351
0.751,0.07414599999999999
0.752,0.074451
0.753,0.07778399999999999
0.754,0.073882
0.755,0.077178
0.756,0.072018
0.757,0.07680400000000001
0.758,0.07367399999999999
0.759,0.07109499999999999
0.76,0.071738
0.761,0.07092899999999999
0.762,0.077648
0.763,0.06987299999999999
0.764,0.076209
0.765,0.07352800000000001
0.766,0.072338
0.767,0.07585800000000001
0.768,0.07508799999999999
0.769,0.071981
0.77,0.072106
0.771,0.07284399999999999
0.772,0.073514
0.773,0.071308
0.774,0.07264899999999999
0.775,0.072046
0.776,0.077399
0.777,0.07570199999999999
