"","b","MFlops"
"896",896,1017.808
"897",897,1016.522
"898",898,1014.078
"899",899,1013.242
"900",900,1014.416
"901",901,1014.454
"902",902,1017.53
"903",903,1014.78
"904",904,1017.608
"905",905,1009.824
"906",906,1014.156
"907",907,1010.774
"908",908,1014.374
"909",909,1011.868
"910",910,1016.014
"911",911,1012.452
"912",912,1012.374
"913",913,1010.08
"914",914,1008.256
"915",915,1009.958
"916",916,1007.472
"917",917,1011.844
"918",918,1009.768
"919",919,1010.174
"920",920,1010.006
"921",921,1005.516
"922",922,1006.132
"923",923,1006.542
"924",924,1006.058
"925",925,1009.754
"926",926,1007.434
"927",927,1009.704
"928",928,1009.944
"929",929,1005.47
"930",930,1005.84
"931",931,1006.258
"932",932,1006.734
"933",933,1007.604
"934",934,1007.64
"935",935,1004.786
"936",936,1004.942
"937",937,1000.154
"938",938,1001.096
"939",939,1000.808
"940",940,1001.466
"941",941,1001.924
"942",942,1002.71
"943",943,1002.304
"944",944,1002.678
"945",945,998.606
"946",946,998.97
"947",947,998.716
"948",948,999.392
"949",949,1000.4
"950",950,1000.516
"951",951,999.988
"952",952,999.688
"953",953,995.946
"954",954,996.28
"955",955,995.952
"956",956,995.824
"957",957,997.31
"958",958,997.85
"959",959,996.85
"960",960,997.21
"961",961,993.976
"962",962,994.048
"963",963,993.752
"964",964,993.836
"965",965,994.858
"966",966,995.332
"967",967,994.874
"968",968,995.13
"969",969,990.456
"970",970,991.166
"971",971,991.828
"972",972,992.652
"973",973,995.944
"974",974,993.594
"975",975,996.174
"976",976,993.014
"977",977,992.19
"978",978,989.772
"979",979,992.666
"980",980,989.734
"981",981,993.214
"982",982,992.138
"983",983,1000.106
"984",984,996.64
"985",985,990.152
"986",986,987.674
"987",987,987.658
"988",988,988.42
"989",989,989.548
"990",990,993.936
"991",991,992.914
"992",992,993.666
"993",993,992.058
"994",994,992.706
"995",995,992.852
"996",996,993.348
"997",997,993.43
"998",998,994.982
"999",999,993.812
"1000",1000,994.916
